participant_idx,question_type,order_condition,slope
1,Baseline,PBT,
1,Error Threshold,PBT,
4,Baseline,PTB,
4,Error Threshold,PTB,0.4737
5,Baseline,PTB,20.574279999999938
5,Error Threshold,PTB,-6.063700000000001
6,Baseline,BTP,-0.39919230769230774
6,Error Threshold,BTP,1.2264642857142858
7,Baseline,TBP,0.019961538461538433
7,Error Threshold,TBP,-0.38371428571428556
8,Baseline,PTB,-0.23310000000000003
8,Error Threshold,PTB,-2.0262857142857142
9,Baseline,TBP,-0.1974000000000002
9,Error Threshold,TBP,1.9466071428571428
10,Baseline,TBP,
10,Error Threshold,TBP,1.4266785714285715
11,Baseline,PBT,
11,Error Threshold,PBT,3.416428571428571
12,Baseline,PTB,2.0040714285714287
12,Error Threshold,PTB,1.0790357142857143
13,Baseline,PTB,0.4704999999999998
13,Error Threshold,PTB,0.9792142857142854
14,Baseline,BTP,0.49157142857142844
14,Error Threshold,BTP,-1.4681428571428572
15,Baseline,PBT,-0.4445645161290325
15,Error Threshold,PBT,3.2786071428571426
16,Baseline,PBT,
16,Error Threshold,PBT,-0.9924642857142862
17,Baseline,BTP,
17,Error Threshold,BTP,-0.5491785714285715
18,Baseline,TBP,4.018
18,Error Threshold,TBP,0.31003571428571425
19,Baseline,BTP,
19,Error Threshold,BTP,0.8754999999999998
20,Baseline,PBT,0.872557142857143
20,Error Threshold,PBT,0.06478571428571435
21,Baseline,TBP,2.1714054054054053
21,Error Threshold,TBP,0.07978571428571422
22,Baseline,PTB,0.4301351351351353
22,Error Threshold,PTB,-0.3513214285714284
23,Baseline,TBP,-3.194657894736843
23,Error Threshold,TBP,-1.6161428571428569
24,Baseline,BTP,
24,Error Threshold,BTP,0.4209285714285714
25,Baseline,TBP,
25,Error Threshold,TBP,-0.7202499999999998
26,Baseline,PBT,
26,Error Threshold,PBT,1.4403571428571424
27,Baseline,BTP,0.36627118644067796
27,Error Threshold,BTP,-0.1737142857142857
28,Baseline,TBP,0.09385964912280689
28,Error Threshold,TBP,-4.109464285714285
29,Baseline,BTP,0.13449152542372894
29,Error Threshold,BTP,0.021000000000000033
30,Baseline,TBP,1.782710526315789
30,Error Threshold,TBP,-1.3398214285714287
31,Baseline,PTB,1.281642857142857
31,Error Threshold,PTB,-3.8494642857142853
32,Baseline,PBT,
32,Error Threshold,PBT,4.341749999999999
33,Baseline,BTP,2.599346153846154
33,Error Threshold,BTP,-0.5868214285714286
34,Baseline,BTP,-0.28261764705882375
34,Error Threshold,BTP,0.6334642857142856
35,Baseline,TBP,
35,Error Threshold,TBP,0.22742857142857137
36,Baseline,PBT,0.7730000000000005
36,Error Threshold,PBT,0.037821428571428416
37,Baseline,BTP,-2.0144285714285712
37,Error Threshold,BTP,-0.30021428571428566
38,Baseline,PTB,-0.44013157894736843
38,Error Threshold,PTB,-0.5185
39,Baseline,PBT,-4.023833333333333
39,Error Threshold,PBT,0.19524999999999992
40,Baseline,BTP,1.5270857142857146
40,Error Threshold,BTP,0.20585714285714285
41,Baseline,BTP,1.6031637931034488
41,Error Threshold,BTP,5.101321428571428
42,Baseline,PTB,
42,Error Threshold,PTB,0.13671428571428582
43,Baseline,PBT,0.03240677966101826
43,Error Threshold,PBT,0.6026071428571428
44,Baseline,PBT,1.211188679245283
44,Error Threshold,PBT,1.9841785714285711
45,Baseline,PBT,-0.7966571428571426
45,Error Threshold,PBT,3.1814999999999998
46,Baseline,PBT,
46,Error Threshold,PBT,-4.245035714285715
47,Baseline,BTP,-7.954409638554217
47,Error Threshold,BTP,-3.258917857142823
48,Baseline,BTP,1.4494285714285717
48,Error Threshold,BTP,-0.2465714285714285
49,Baseline,PTB,
49,Error Threshold,PTB,-1.8038928571428567
50,Baseline,BTP,21.618557627118584
50,Error Threshold,BTP,-0.5047499999999999
51,Baseline,BTP,1.3915000000000004
51,Error Threshold,BTP,-1.9022142857142856
52,Baseline,PBT,
52,Error Threshold,PBT,-2.2548571428571433
53,Baseline,BTP,
53,Error Threshold,BTP,-1.5471071428571428
54,Baseline,PBT,0.503714285714286
54,Error Threshold,PBT,-0.5427500000000001
55,Baseline,BTP,-6.129814285714283
55,Error Threshold,BTP,-2.1007499999999997
56,Baseline,PBT,
56,Error Threshold,PBT,13.871203571428534
57,Baseline,TBP,
57,Error Threshold,TBP,6.873285714285714
58,Baseline,PTB,2.0358571428571426
58,Error Threshold,PTB,-2.8768571428571432
59,Baseline,PTB,24.456279999999936
59,Error Threshold,PTB,4.544
60,Baseline,BTP,-1.6784736842105261
60,Error Threshold,BTP,-2.3366071428571433
61,Baseline,PTB,1.4890714285714286
61,Error Threshold,PTB,1.1328928571428571
62,Baseline,PTB,
62,Error Threshold,PTB,1.110357142857143
63,Baseline,BTP,3.7792899999999676
63,Error Threshold,BTP,5.290178571428571
64,Baseline,PBT,-1.1787631578947364
64,Error Threshold,PBT,0.16664285714285712
65,Baseline,TBP,1.5724626865671638
65,Error Threshold,TBP,-0.06596428571428566
66,Baseline,PTB,-4.354999999999999
66,Error Threshold,PTB,-7.378200000000001
